code,capital,latitude,longitude
AD,Andorra la Vella,42.5069391,1.5212467
AF,Kabul,34.5260131,69.1776476
AG,St. John's,47.561701,-52.715149
AL,Tirana,41.3279457,19.8185323
AM,Yerevan,40.1776121,44.5125849
AO,Luanda,-8.8272699,13.2439512
AR,Buenos Aires,-34.6075616,-58.437076
AT,Vienna,48.2083537,16.3725042
AU,Canberra,-35.2975906,149.1012676
AZ,Baku,40.3759646,49.8325808
BB,Bridgetown,13.0977832,-59.6184184
BD,Dhaka,23.7593572,90.3788136
BE,Brussels,50.8465573,4.351697
BF,Ouagadougou,12.368148,-1.527085
BG,Sofia,42.6978634,23.3221789
BH,Manama,26.2235041,50.5822436
BI,Bujumbura,-3.3638125,29.3675028
BJ,Porto-Novo,6.4990718,2.6253361
BN,Bandar Seri Begawan,4.8895453,114.9417574
BO,Sucre,-19.0477251,-65.2594306
BS,Nassau,40.7412643,-73.5877699
BT,Thimphu,27.4727617,89.629548
BW,Gaborone,-24.655319,25.908728
BY,Minsk,53.902334,27.5618791
BZ,Belmopan,17.250199,-88.770018
CA,Ottawa,45.421106,-75.690308
CD,Kinshasa,-4.3217055,15.3125974
CG,Brazzaville,-4.2694407,15.2712256
CI,Yamoussoukro,6.869145,-5.2823277
CL,Santiago,-33.4377968,-70.6504451
CN,Beijing,39.9059631,116.391248
CO,BogotÃ¡,4.5980772,-74.0761028
CR,San JosÃ©,33.6464531,-112.2094879
CU,Havana,23.138028,-82.3658671
CV,Praia,14.9160169,-23.5096132
CY,Nicosia,35.180282,33.37369587
CZ,Prague,50.0874654,14.4212535
DE,Berlin,52.5170365,13.3888599
DJ,Djibouti City,11.85677545,42.75778452
DK,Copenhagen,55.6867243,12.5700724
DM,Roseau,15.2991923,-61.3872868
DO,Santo Domingo,18.4801972,-69.942111
EC,Quito,-0.2130423,-78.501997
EE,Tallinn,59.4372155,24.7453688
EG,Cairo,30.048819,31.243666
ER,Asmara,11.244962,41.5444484
ET,Addis Ababa,9,38.75
FI,Helsinki,60.1674086,24.9425683
FJ,Suva,-18.1415884,178.4421662
FR,Paris,48.8566101,2.3514992
GA,Libreville,0.390002,9.454001
GE,Tbilisi,41.6935247,44.8015019
GH,Accra,5.5600141,-0.2057437
GM,Banjul,13.45535,-16.575646
GN,Conakry,9.5170602,-13.6998434
GR,Athens,33.9550905,-83.3881868
GT,Guatemala City,14.6417889,-90.5132239
GT,Port-au-Prince,18.547327,-72.3395928
GW,Bissau,11.861324,-15.583055
GY,Georgetown,38.2097967,-84.5588311
HN,Tegucigalpa,14.0931919,-87.2012631
HU,Budapest,47.4983815,19.0404707
ID,Jakarta,-6.1753942,106.827183
IE,Dublin,53.3497645,-6.2602732
IL,Jerusalem,31.78911765,35.22297301
IN,New Delhi,28.6141793,77.2022662
IQ,Baghdad,33.3024309,44.3787992
IR,Tehran,35.7006177,51.401375
IT,Rome,41.8933203,12.4829321
JM,Kingston,17.9712148,-76.7928128
JO,Amman,31.9515694,35.9239625
JP,Tokyo,34.6968642,139.4049033
KE,Nairobi,-1.2832533,36.8172449
KG,Bishkek,42.8797576,74.58668772
KI,Tarawa,11.5884149,3.9707743
KP,Pyongyang,39.0194741,125.753388
KR,Seoul,37.5666791,126.9782914
KW,Kuwait City,29.3797091,47.9735629
LB,Beirut,33.88922645,35.5025733
LI,Vaduz,47.1392862,9.5227962
LR,Monrovia,6.328034,-10.797788
LS,Maseru,-29.310054,27.478222
LT,Vilnius,54.6870458,25.2829111
LU,Luxembourg City,49.6112768,6.129799
LV,Riga,56.9493977,24.1051846
LY,Tripoli,32.896672,13.1777923
MG,Antananarivo,-18.9100122,47.5255809
MH,Majuro,7.0909924,171.3816354
MK,Skopje,41.9960924,21.4316495
ML,Bamako,12.60506605,-7.986512056
MM,Naypyidaw,19.7540045,96.1344976
MN,Ulaanbaatar,47.949809,106.9667242
MR,Nouakchott,18.0792379,-15.9780071
MT,Valletta,35.8989818,14.5136759
MU,Port Louis,-20.1637281,57.5045331
MV,MalÃ©,14.6419853,121.0097789
MW,Lilongwe,-13.973456,33.7878122
MX,Mexico City,19.4326009,-99.1333416
MY,Kuala Lumpur,3.1546872,101.7136362
MZ,Maputo,-26.0476384,32.79404892
NA,Windhoek,-22.5530386,17.05437879
NE,Niamey,13.4998139,2.109485972
NG,Abuja,9.0643305,7.4892974
NI,Managua,12.1461244,-86.273717
NL,Amsterdam,52.3745403,4.897975506
NO,Oslo,59.9132694,10.7391112
NP,Kathmandu,27.708796,85.320244
NR,Yaren,-0.5471014,166.9164002
NZ,Wellington,-41.2887639,174.7772239
OM,Muscat,23.5125498,58.55137344
PA,Panama City,30.1600827,-85.6545729
PE,Lima,-12.0621065,-77.0365256
PG,Port Moresby,-9.4743301,147.1599504
PH,Manila,14.5906216,120.9799696
PK,Islamabad,33.6938118,73.0651511
PL,Warsaw,52.2319237,21.0067265
PT,Lisbon,38.7077507,-9.1365919
PW,Ngerulmud,7.5006193,134.6243012
QA,Doha,25.2856329,51.5264162
RO,Bucharest,44.4361414,26.1027202
RU,Moscow,55.7507178,37.6176606
RW,Kigali,-1.8859597,30.1296751
SA,Riyadh,24.6319692,46.7150648
SB,Honiara,-9.4312971,159.9552773
SC,Victoria,-36.5986096,144.6780052
SD,Khartoum,15.593325,32.53565
SE,Stockholm,59.3251172,18.0710935
SG,Singapore,1.2904753,103.8520359
SI,Ljubljana,46.049865,14.5068921
SK,Bratislava,48.1359085,17.15974406
SL,Freetown,8.479004,-13.26795
SM,San Marino,43.9458623,12.458306
SN,Dakar,14.693425,-17.447938
SO,Mogadishu,2.042778,45.338564
SR,Paramaribo,5.8216198,-55.1771974
SY,Damascus,33.5130695,36.3095814
TG,LOME,48.7536749,22.1842819
TH,Bangkok,13.7538929,100.8160803
TJ,Dushanbe,38.5425835,68.81521319
TM,Ashgabat,37.9396678,58.3874263
TN,Tunis,33.8439408,9.400138
TO,NukuÊ»alofa,-21.1343401,-175.2018085
TR,Ankara,39.9215219,32.8537929
TT,Port of Spain,10.6572678,-61.5180173
TV,Funafuti,-8.53499465,179.1186496
TZ,Dodoma,-6.1791181,35.7468174
UA,Kiev,50.4501071,30.5240501
UG,Kampala,0.3177137,32.5813539
US,"Washington, D.C.",36.29885175,-82.35919331
UY,Montevideo,-34.9059039,-56.1913569
UZ,Tashkent,41.3123363,69.2787079
VA,Vatican City,41.9034912,12.4528349
VE,Caracas,10.506098,-66.9146017
VN,Hanoi,21.0292095,105.85247
VU,Port Vila,-17.7414972,168.3150163
YE,Sana'a,15.342101,44.2005197
ZM,Lusaka,-15.416697,28.281381
ZW,Harare,-17.831773,31.045686
DZ,Algiers,36.775348,3.060065
BA,Sarajevo,43.8519774,18.3866868
KH,Phnom Penh,11.568271,104.9224426
CF,Bangui,4.3907153,18.5509126
TD,N'Djamena,12.1191543,15.0502758
KM,Moroni,-11.6931255,43.2543044
HR,Zagreb,45.813177,15.977048
TL,Dili,28.6517178,77.2219388
SV,San Salvador,13.6989939,-89.1914249
GQ,Malabo,3.752828,8.780061
GD,St. George's,32.3342432,-64.697
KZ,Astana,51.15092055,71.43885952
LA,Vientiane,17.9640988,102.6133707
FM,Palikir,6.920744,158.1627143
MC,Monaco,43.63071345,7.476161016
ME,Podgorica,42.4415238,19.2621081
MA,Rabat,33.96689355,-6.842662759
KN,Basseterre,17.2960919,-62.722301
LC,Castries,14.0095966,-60.9902359
VC,Kingstown,13.1561864,-61.2279621
WS,Apia,-13.8343691,-171.7692793
RS,Belgrade,44.8178131,20.4568974
ZA,Pretoria,-25.7459374,28.1879444
ES,Madrid,40.4167047,-3.7035825
LK,Sri Jayewardenepura Kotte,6.8536201,79.9059902
SZ,Mbabane,-26.325745,31.144663
CH,Bern,46.9482713,7.4514512
AE,Abu Dhabi,23.99764435,53.64390976
GB,London,51.5073219,-0.1276474
